12_04
Spain;1,699,145;+5,554;46,252;+214;N/A;N/A;N/A;2,371;36,336;989;22,992,742;491,692;46,762,516;
San Marino;1,756;+42;47;+1;1,381;+25;328;8;51,706;1,384;18,682;550,102;33,961;
